Char,Unicode (hex),Decimal,Learning Order
ã…,U+6975,26997,4
òO,U+697C,27004,7
äy,U+697D,27005,2
äT,U+6982,27010,7
ç\,U+69CB,27083,5
ól,U+69D8,27096,3
ëÖ,U+69FD,27133,7
ïW,U+6A19,27161,4
ñÕ,U+6A21,27169,6
å†,U+6A29,27177,6
â°,U+6A2A,27178,3
é˜,U+6A39,27193,6
ã¥,U+6A4B,27211,3
ã@,U+6A5F,27231,4
óì,U+6B04,27396,7
åá,U+6B20,27424,4
éü,U+6B21,27425,3
â¢,U+6B27,27431,7
ó~,U+6B32,27442,6
ã\,U+6B3A,27450,7
äº,U+6B3E,27454,7
âÃ,U+6B4C,27468,2
äΩ,U+6B53,27475,7
é~,U+6B62,27490,2
ê≥,U+6B63,27491,1
ïê,U+6B66,27494,5
ï‡,U+6B69,27497,2
éï,U+6B6F,27503,3
çŒ,U+6B73,27507,7
ó,U+6B74,27508,4
éÄ,U+6B7B,27515,3
è},U+6B89,27529,7
éÍ,U+6B8A,27530,7
éc,U+6B8B,27531,4
êB,U+6B96,27542,7
â£,U+6BB4,27572,7
íi,U+6BB5,27573,6
éE,U+6BBA,27578,4
äk,U+6BBB,27579,7
ìa,U+6BBF,27583,7
ïÍ,U+6BCD,27597,2
ñà,U+6BCE,27598,2
ì≈,U+6BD2,27602,4
î‰,U+6BD4,27604,5
ñ—,U+6BDB,27611,2
éÅ,U+6C0F,27663,4
ñØ,U+6C11,27665,4
ãC,U+6C17,27671,1
êÖ,U+6C34,27700,1
ïX,U+6C37,27703,3
âi,U+6C38,27704,5
è`,U+6C41,27713,7
ãÅ,U+6C42,27714,4
äæ,U+6C57,27735,7
âò,U+6C5A,27738,7
ç],U+6C5F,27743,7
ír,U+6C60,27744,2
åà,U+6C7A,27770,3
ãD,U+6C7D,27773,2
íæ,U+6C88,27784,7
â´,U+6C96,27798,7
ñv,U+6CA1,27809,7
ëÚ,U+6CA2,27810,7
âÕ,U+6CB3,27827,5
ï¶,U+6CB8,27832,7
ñ˚,U+6CB9,27833,3
é°,U+6CBB,27835,4
è¿,U+6CBC,27836,7
âà,U+6CBF,27839,6
ãµ,U+6CC1,27841,7
êÚ,U+6CC9,27849,6
îë,U+6CCA,27850,7
îÂ,U+6CCC,27852,7
ñ@,U+6CD5,27861,4
ñA,U+6CE1,27873,7
îg,U+6CE2,27874,3
ãÉ,U+6CE3,27875,4
ìD,U+6CE5,27877,7
íç,U+6CE8,27880,3
ë◊,U+6CF0,27888,7
âj,U+6CF3,27891,3
óm,U+6D0B,27915,3
êÙ,U+6D17,27927,6
ì¥,U+6D1E,27934,7
í√,U+6D25,27941,7
ç^,U+6D2A,27946,7
äà,U+6D3B,27963,2
îh,U+6D3E,27966,6
ó¨,U+6D41,27969,3
èÚ,U+6D44,27972,7
êÛ,U+6D45,27973,4
ïl,U+6D5C,27996,7
âY,U+6D66,28006,7
òQ,U+6D6A,28010,7
ïÇ,U+6D6E,28014,7
óÅ,U+6D74,28020,4
äC,U+6D77,28023,2
êZ,U+6D78,28024,7
è¡,U+6D88,28040,3
ó‹,U+6D99,28057,7
äU,U+6DAF,28079,7
ât,U+6DB2,28082,5
ó¡,U+6DBC,28092,7
èi,U+6DD1,28113,7
íW,U+6DE1,28129,7
ê[,U+6DF1,28145,3
ç¨,U+6DF7,28151,5
ìY,U+6DFB,28155,7
ê¥,U+6E05,28165,4
äâ,U+6E07,28167,7
çœ,U+6E08,28168,6
è¬,U+6E09,28169,7
èa,U+6E0B,28171,7
åk,U+6E13,28179,7
å∏,U+6E1B,28187,5
ìn,U+6E21,28193,7
âQ,U+6E26,28198,7
â∑,U+6E29,28201,3
ë™,U+6E2C,28204,5
ç`,U+6E2F,28207,3
åŒ,U+6E56,28246,3
ìí,U+6E6F,28271,3
òp,U+6E7E,28286,7
éº,U+6E7F,28287,7
ñû,U+6E80,28288,4
åπ,U+6E90,28304,6
èÄ,U+6E96,28310,5
ça,U+6E9D,28317,7
ón,U+6EB6,28342,7
ñ≈,U+6EC5,28357,7
é†,U+6ECB,28363,7
ää,U+6ED1,28369,7
ëÍ,U+6EDD,28381,7
ëÿ,U+6EDE,28382,7
ìH,U+6EF4,28404,7
ãô,U+6F01,28417,4
ïY,U+6F02,28418,7
éΩ,U+6F06,28422,7
òR,U+6F0F,28431,7
ââ,U+6F14,28436,5
îô,U+6F20,28448,7
äø,U+6F22,28450,3
ñü,U+6F2B,28459,7
í–,U+6F2C,28460,7
ëQ,U+6F38,28472,7
åâ,U+6F54,28500,5
êˆ,U+6F5C,28508,7
äÉ,U+6F5F,28511,7
èÅ,U+6F64,28516,7
í™,U+6F6E,28526,6
êü,U+6F84,28548,7
åÉ,U+6FC0,28608,6
ë˜,U+6FC1,28609,7
îZ,U+6FC3,28611,7
óî,U+6FEB,28651,7
ëÛ,U+6FEF,28655,7
ê£,U+702C,28716,7
âŒ,U+706B,28779,1
ìî,U+706F,28783,4
äD,U+7070,28784,6
ç–,U+707D,28797,5
òF,U+7089,28809,7
êÜ,U+708A,28810,7
âä,U+708E,28814,7
íY,U+70AD,28845,3
ì_,U+70B9,28857,2
à◊,U+70BA,28858,7
óÛ,U+70C8,28872,7
ñ≥,U+7121,28961,4
è≈,U+7126,28966,7
ëR,U+7136,28982,4
èƒ,U+713C,28988,4
âå,U+7159,29017,7
è∆,U+7167,29031,4
îœ,U+7169,29033,7
éœ,U+716E,29038,7
èn,U+719F,29087,6
îM,U+71B1,29105,4
îR,U+71C3,29123,5
ìï,U+71C8,29128,7
ëá,U+71E5,29157,7
îö,U+7206,29190,7
é›,U+7235,29237,7
ïÉ,U+7236,29238,2
ï–,U+7247,29255,6
î≈,U+7248,29256,5
ãç,U+725B,29275,2
ñq,U+7267,29287,4
ï®,U+7269,29289,3
êµ,U+7272,29298,7
ì¡,U+7279,29305,4
ã],U+72A0,29344,7
å¢,U+72AC,29356,1
î∆,U+72AF,29359,5
èÛ,U+72B6,29366,5
ã∂,U+72C2,29378,7
éÎ,U+72E9,29417,7
ì∆,U+72EC,29420,5
ã∑,U+72ED,29421,7
ñ“,U+731B,29467,7
ó¬,U+731F,29471,7
îL,U+732B,29483,7
å£,U+732E,29486,7
óP,U+7336,29494,7
âé,U+733F,29503,7
çñ,U+7344,29508,7
èb,U+7363,29539,7
äl,U+7372,29554,7
å∫,U+7384,29572,7
ó¶,U+7387,29575,5
ã ,U+7389,29577,1
â§,U+738B,29579,1
íø,U+73CD,29645,7
éÏ,U+73E0,29664,7
î«,U+73ED,29677,6
åª,U+73FE,29694,5
ãÖ,U+7403,29699,3
óù,U+7406,29702,2
ã’,U+7434,29748,7
ä¬,U+74B0,29872,7
é£,U+74BD,29885,7
ïr,U+74F6,29942,7
ä√,U+7518,29976,7
êr,U+751A,29978,7
ê∂,U+751F,29983,1
éY,U+7523,29987,4
óp,U+7528,29992,2
ìc,U+7530,30000,1
óR,U+7531,30001,3
çb,U+7532,30002,7
ê\,U+7533,30003,3
íj,U+7537,30007,1
í¨,U+753A,30010,1
âÊ,U+753B,30011,2
äE,U+754C,30028,3
î®,U+7551,30033,3
î»,U+7554,30036,7
óØ,U+7559,30041,5
í{,U+755C,30044,7
ê§,U+755D,30045,7
ó™,U+7565,30053,5
î‘,U+756A,30058,2
àŸ,U+7570,30064,6
èÙ,U+7573,30067,7
ëa,U+758E,30094,7
ã^,U+7591,30097,6
âu,U+75AB,30123,7
îÊ,U+75B2,30130,7
éæ,U+75BE,30142,7
ïa,U+75C5,30149,3
è«,U+75C7,30151,7
ìó,U+75D8,30168,7
í…,U+75DB,30171,6
óü,U+75E2,30178,7
ís,U+75F4,30196,7
ó√,U+7642,30274,7
ñ¸,U+7652,30290,7
ï»,U+7656,30294,7
î≠,U+767A,30330,3
ìo,U+767B,30331,3
îí,U+767D,30333,1
ïS,U+767E,30334,1
ìI,U+7684,30340,4
äF,U+7686,30342,7
çc,U+7687,30343,6
îÁ,U+76AE,30382,3
éM,U+76BF,30399,3
ñ~,U+76C6,30406,7
âv,U+76CA,30410,5
ìê,U+76D7,30423,7
ê∑,U+76DB,30427,6
ñø,U+76DF,30431,6
äƒ,U+76E3,30435,7
î’,U+76E4,30436,7
ñ⁄,U+76EE,30446,1
ñ”,U+76F2,30450,7
íº,U+76F4,30452,2
ëä,U+76F8,30456,3
èÇ,U+76FE,30462,7
è»,U+7701,30465,4
ä≈,U+770B,30475,6
åß,U+770C,30476,3
ê^,U+771F,30495,3
ñ∞,U+7720,30496,7
í≠,U+773A,30522,7
ä·,U+773C,30524,5
íÖ,U+7740,30528,3
êá,U+7761,30561,7
ì¬,U+7763,30563,7
èu,U+77AC,30636,7
ñµ,U+77DB,30683,7
ñÓ,U+77E2,30690,2
ím,U+77E5,30693,2
íZ,U+77ED,30701,3
ã∏,U+77EF,30703,7
êŒ,U+77F3,30707,1
çª,U+7802,30722,6
å§,U+7814,30740,3
ç”,U+7815,30741,7
ñC,U+7832,30770,7
îj,U+7834,30772,5
è…,U+785D,30813,7
ó∞,U+786B,30827,7
çd,U+786C,30828,7
åÈ,U+7881,30849,7
îË,U+7891,30865,7
äm,U+78BA,30906,5
é•,U+78C1,30913,6
ñÅ,U+78E8,30952,7
è ,U+7901,30977,7
ëb,U+790E,30990,7
é¶,U+793A,31034,5
óÁ,U+793C,31036,3
é–,U+793E,31038,2
ãF,U+7948,31048,7
éÉ,U+7949,31049,7
ëc,U+7956,31062,5
èj,U+795D,31069,4
ê_,U+795E,31070,3
èÀ,U+7965,31077,7
ï[,U+7968,31080,4
ç’,U+796D,31085,3
ã÷,U+7981,31105,5
ëT,U+7985,31109,7
â–,U+798D,31117,7
ïü,U+798F,31119,3
èG,U+79C0,31168,7
éÑ,U+79C1,31169,6
èH,U+79CB,31179,2
â»,U+79D1,31185,2
ïb,U+79D2,31186,3
îÈ,U+79D8,31192,6
ëd,U+79DF,31199,7
íÅ,U+79E9,31209,7
èÃ,U+79F0,31216,7
à⁄,U+79FB,31227,5
íˆ,U+7A0B,31243,5
ê≈,U+7A0E,31246,5
ít,U+7A1A,31258,7
éÌ,U+7A2E,31278,4
àÓ,U+7A32,31282,7
â“,U+7A3C,31292,7
çe,U+7A3F,31295,7
çí,U+7A40,31296,6
ï‰,U+7A42,31298,7
êœ,U+7A4D,31309,4
â∏,U+7A4F,31311,7
än,U+7A6B,31339,7
åä,U+7A74,31348,6
ãÜ,U+7A76,31350,3
ãÛ,U+7A7A,31354,1
ìÀ,U+7A81,31361,7
êﬁ,U+7A83,31363,7
íÇ,U+7A92,31378,7
ëã,U+7A93,31379,6
ãá,U+7AAE,31406,7
óq,U+7AAF,31407,7
óß,U+7ACB,31435,1
ó≥,U+7ADC,31452,7
èÕ,U+7AE0,31456,3
ì∂,U+7AE5,31461,3
í[,U+7AEF,31471,7
ã£,U+7AF6,31478,4
í|,U+7AF9,31481,1
èŒ,U+7B11,31505,4
ìJ,U+7B1B,31515,3
ïÑ,U+7B26,31526,7
ëÊ,U+7B2C,31532,3
ïM,U+7B46,31558,3
ìô,U+7B49,31561,3
ãÿ,U+7B4B,31563,6
ìõ,U+7B52,31570,7
ìö,U+7B54,31572,2
çÙ,U+7B56,31574,6
â”,U+7B87,31623,7
éZ,U+7B97,31639,2
ä«,U+7BA1,31649,4
î†,U+7BB1,31665,3
êﬂ,U+7BC0,31680,4
îÕ,U+7BC4,31684,7
íz,U+7BC9,31689,5
ìƒ,U+7BE4,31716,7
ä»,U+7C21,31777,6
ïÎ,U+7C3F,31807,7
ê–,U+7C4D,31821,7
ïƒ,U+7C73,31859,2
ï≤,U+7C89,31881,4
êà,U+7C8B,31883,7
ó±,U+7C92,31890,7
ëe,U+7C97,31895,7
îS,U+7C98,31896,7
èl,U+7C9B,31899,7
èœ,U+7CA7,31911,7
ê∏,U+7CBE,31934,5
ìú,U+7CD6,31958,6
ó∆,U+7CE7,31975,7
éÖ,U+7CF8,31992,1
ån,U+7CFB,31995,6
ãä,U+7CFE,31998,7
ãI,U+7D00,32000,4
ñÒ,U+7D04,32004,4
çg,U+7D05,32005,6
ñ‰,U+7D0B,32011,7
î[,U+7D0D,32013,6
èÉ,U+7D14,32020,6
éÜ,U+7D19,32025,2
ãâ,U+7D1A,32026,3
ï¥,U+7D1B,32027,7
ëf,U+7D20,32032,5
ña,U+7D21,32033,7
çı,U+7D22,32034,7
éá,U+7D2B,32043,7
ó›,U+7D2F,32047,7
ç◊,U+7D30,32048,2
êa,U+7D33,32051,7
è–,U+7D39,32057,7
çÆ,U+7D3A,32058,7
èI,U+7D42,32066,3
ëg,U+7D44,32068,2
åo,U+7D4C,32076,5
åã,U+7D50,32080,4
çi,U+7D5E,32094,7
óç,U+7D61,32097,7
ãã,U+7D66,32102,4
ìù,U+7D71,32113,5
äG,U+7D75,32117,2
ê‚,U+7D76,32118,5
å¶,U+7D79,32121,6
åp,U+7D99,32153,7
ë±,U+7D9A,32154,4
à€,U+7DAD,32173,7
çj,U+7DB1,32177,7
ñ‘,U+7DB2,32178,7
ñ»,U+7DBF,32191,5
ãŸ,U+7DCA,32202,7
ëç,U+7DCF,32207,5
óŒ,U+7DD1,32209,3
èè,U+7DD2,32210,7
ê¸,U+7DDA,32218,2
í˜,U+7DE0,32224,7
ï“,U+7DE8,32232,5
ä…,U+7DE9,32233,7
à‹,U+7DEF,32239,7
ó˚,U+7DF4,32244,3
âè,U+7E01,32257,7
ìÍ,U+7E04,32260,7
îõ,U+7E1B,32283,7
èc,U+7E26,32294,6
ñD,U+7E2B,32299,7
èk,U+7E2E,32302,6
ê—,U+7E3E,32318,5
î…,U+7E41,32321,7
ë@,U+7E4A,32330,7
êD,U+7E54,32340,5
ëU,U+7E55,32341,7
ñö,U+7E6D,32365,7
åJ,U+7E70,32368,7
ä ,U+7F36,32566,7
çﬂ,U+7F6A,32618,5
íu,U+7F6E,32622,4
î±,U+7F70,32624,7
èê,U+7F72,32626,6
îÎ,U+7F77,32631,7
óÖ,U+7F85,32645,7
ór,U+7F8A,32650,3
î¸,U+7F8E,32654,3
åQ,U+7FA4,32676,5
ã`,U+7FA9,32681,5
âH,U+7FBD,32701,2
â•,U+7FC1,32705,7
óÇ,U+7FCC,32716,6
èK,U+7FD2,32722,3
ñ|,U+7FFB,32763,7
óÉ,U+7FFC,32764,7
òV,U+8001,32769,4
çl,U+8003,32771,2
é“,U+8005,32773,3
ëœ,U+8010,32784,7
çk,U+8015,32789,5
ñ’,U+8017,32791,7
é®,U+8033,32819,1
êπ,U+8056,32854,6
ï∑,U+805E,32862,2
íÆ,U+8074,32884,7
êE,U+8077,32887,5
ì˜,U+8089,32905,2
îß,U+808C,32908,7
è—,U+8096,32918,7
äÃ,U+809D,32925,7
éà,U+80A2,32930,7
îÏ,U+80A5,32933,5
å®,U+80A9,32937,7
ñb,U+80AA,32938,7
çm,U+80AF,32943,7
àÁ,U+80B2,32946,3
îx,U+80BA,32954,6
à›,U+80C3,32963,4
í_,U+80C6,32966,7
îw,U+80CC,32972,6
ëŸ,U+80CE,32974,7
ñE,U+80DE,32990,7
ì∑,U+80F4,33012,7
ãπ,U+80F8,33016,6
î\,U+80FD,33021,5
éâ,U+8102,33026,7
ã∫,U+8105,33029,7
ñ¨,U+8108,33032,4
ãr,U+811A,33050,7
íE,U+8131,33073,7
î],U+8133,33075,6
íØ,U+8139,33081,7
ïÖ,U+8150,33104,7
òr,U+8155,33109,7
çò,U+8170,33136,7
í∞,U+8178,33144,4
ï†,U+8179,33145,6
ïÜ,U+819A,33178,7
ñå,U+819C,33180,7
ñc,U+81A8,33192,7
ëü,U+81D3,33235,6
êb,U+81E3,33251,4
ó’,U+81E8,33256,6
é©,U+81EA,33258,2
èL,U+81ED,33261,7
éä,U+81F3,33267,6
ív,U+81F4,33268,7
ãª,U+8208,33288,5
ê„,U+820C,33292,5
é…,U+820E,33294,5
ï‹,U+8217,33303,7
ïë,U+821E,33310,7
èM,U+821F,33311,7
çq,U+822A,33322,4
î ,U+822C,33324,7
îï,U+8236,33334,7
ëD,U+8239,33337,2
í¯,U+8247,33351,7
äÕ,U+8266,33382,7
ó«,U+826F,33391,4
êF,U+8272,33394,2
à,U+828B,33419,7
é≈,U+829D,33437,7
â‘,U+82B1,33457,1
ñF,U+82B3,33459,7
å|,U+82B8,33464,4
âË,U+82BD,33469,4
ïc,U+82D7,33495,7
é·,U+82E5,33509,6
ãÍ,U+82E6,33510,3
âp,U+82F1,33521,4
ñŒ,U+8302,33538,7
ås,U+830E,33550,7
íÉ,U+8336,33590,2
ëê,U+8349,33609,1
çr,U+8352,33618,7
ëë,U+8358,33624,7
â◊,U+8377,33655,3
ãe,U+83CA,33738,7
ã€,U+83CC,33740,7
âŸ,U+83D3,33747,7
çÿ,U+83DC,33756,4
âÿ,U+83EF,33775,7
óé,U+843D,33853,3
ót,U+8449,33865,3
íò,U+8457,33879,6
ëí,U+846C,33900,7
èˆ,U+84B8,33976,6
í~,U+84C4,33988,7
ë†,U+8535,34101,6
îñ,U+8584,34180,7
ëE,U+85A6,34214,7
êd,U+85AA,34218,7
åO,U+85AB,34219,7
ñÚ,U+85AC,34220,3
îÀ,U+85E9,34281,7
ëî,U+85FB,34299,7
ãs,U+8650,34384,7
ãï,U+865A,34394,7
ó∏,U+865C,34396,7
ãÒ,U+865E,34398,7
íé,U+866B,34411,1
â·,U+868A,34442,7
é\,U+8695,34453,6
é÷,U+86C7,34503,7
åu,U+86CD,34509,7
îÿ,U+86EE,34542,7
óZ,U+878D,34701,7
åå,U+8840,34880,3
èO,U+8846,34886,6
çs,U+884C,34892,2
èp,U+8853,34899,5
äX,U+8857,34903,4
âq,U+885B,34907,5
è’,U+885D,34909,7
çt,U+8861,34913,7
àﬂ,U+8863,34915,4
ï\,U+8868,34920,3
êä,U+8870,34928,7
íè,U+8877,34935,7
ë‹,U+888B,34955,7
îÌ,U+88AB,34987,7
çŸ,U+88C1,35009,6
óÙ,U+88C2,35010,7
ëï,U+88C5,35013,6
ó†,U+88CF,35023,6
óT,U+88D5,35029,7
ï‚,U+88DC,35036,6
óá,U+88F8,35064,7
êª,U+88FD,35069,5
ï°,U+8907,35079,5
äå,U+8910,35088,7
ñJ,U+8912,35090,7
ã›,U+895F,35167,7
èP,U+8972,35186,7
êº,U+897F,35199,2
óv,U+8981,35201,4
ï¢,U+8986,35206,7
îe,U+8987,35207,7
å©,U+898B,35211,1
ãK,U+898F,35215,5
éã,U+8996,35222,6
äo,U+899A,35226,4
óó,U+89A7,35239,6
êe,U+89AA,35242,2
äœ,U+89B3,35251,4
äp,U+89D2,35282,2
â,U+89E3,35299,5
êG,U+89E6,35302,7
åæ,U+8A00,35328,2
í˘,U+8A02,35330,7
åv,U+8A08,35336,2
ì¢,U+8A0E,35342,6
åP,U+8A13,35347,4
ëı,U+8A17,35351,7
ãL,U+8A18,35352,2
è◊,U+8A1F,35359,7
ñK,U+8A2A,35370,6
ê›,U+8A2D,35373,5
ãñ,U+8A31,35377,5
ñÛ,U+8A33,35379,6
ëi,U+8A34,35380,7
êf,U+8A3A,35386,7
èÿ,U+8A3C,35388,5
çº,U+8A50,35408,7
èŸ,U+8A54,35412,7
ï],U+8A55,35413,5
éå,U+8A5E,35422,6
âr,U+8A60,35424,7
éé,U+8A66,35430,4
éç,U+8A69,35433,3
ãl,U+8A70,35440,7
òb,U+8A71,35441,2
äY,U+8A72,35442,7
è⁄,U+8A73,35443,7
å÷,U+8A87,35463,7
ó_,U+8A89,35465,7
éè,U+8A8C,35468,6
îF,U+8A8D,35469,6
êæ,U+8A93,35475,7
ía,U+8A95,35477,6
óU,U+8A98,35480,7
åÍ,U+8A9E,35486,2
êΩ,U+8AA0,35488,6
åÎ,U+8AA4,35492,6
ê‡,U+8AAC,35500,4
ì«,U+8AAD,35501,2
â€,U+8AB2,35506,4
í≤,U+8ABF,35519,3
ík,U+8AC7,35527,3
êø,U+8ACB,35531,7
ò_,U+8AD6,35542,6
ó@,U+8AED,35565,7
éê,U+8AEE,35566,7
èî,U+8AF8,35576,6
ë¯,U+8AFE,35582,7
ñd,U+8B00,35584,7
ây,U+8B01,35585,7
ì£,U+8B04,35588,7
å™,U+8B19,35609,7
çu,U+8B1B,35611,5
é”,U+8B1D,35613,5
ów,U+8B21,35617,7
ãﬁ,U+8B39,35641,7
éØ,U+8B58,35672,5
ïà,U+8B5C,35676,7
åx,U+8B66,35686,6
ãc,U+8B70,35696,4
è˜,U+8B72,35698,7
åÏ,U+8B77,35703,5
íJ,U+8C37,35895,2
ì§,U+8C46,35910,3
ñL,U+8C4A,35914,5
ìÿ,U+8C5A,35930,7
è€,U+8C61,35937,4
çã,U+8C6A,35946,7
äL,U+8C9D,35997,1
íÂ,U+8C9E,35998,7
ïâ,U+8CA0,36000,3
ç‡,U+8CA1,36001,5
çv,U+8CA2,36002,7
ïn,U+8CA7,36007,5
â›,U+8CA8,36008,4
îÃ,U+8CA9,36009,7
ä—,U+8CAB,36011,7
ê”,U+8CAC,36012,5
íô,U+8CAF,36015,4
ãM,U+8CB4,36020,6
îÉ,U+8CB7,36023,2
ë›,U+8CB8,36024,5
îÔ,U+8CBB,36027,4
ñf,U+8CBF,36031,5
âÍ,U+8CC0,36032,5
í¿,U+8CC3,36035,6
òd,U+8CC4,36036,7
éë,U+8CC7,36039,5
ëØ,U+8CCA,36042,7
ïo,U+8CD3,36051,7
é^,U+8CDB,36059,5
éí,U+8CDC,36060,7
è‹,U+8CDE,36062,4
îÖ,U+8CE0,36064,7
å´,U+8CE2,36066,7
ïä,U+8CE6,36070,7
éø,U+8CEA,36074,5
çw,U+8CFC,36092,7
ë°,U+8D08,36104,7
ê‘,U+8D64,36196,1
éÕ,U+8D66,36198,7
ëñ,U+8D70,36208,2
ïã,U+8D74,36212,7
ãN,U+8D77,36215,3
í¥,U+8D85,36229,7
âz,U+8D8A,36234,7
éÔ,U+8DA3,36259,7
ë´,U+8DB3,36275,1
ãó,U+8DDD,36317,7
ê’,U+8DE1,36321,7
òH,U+8DEF,36335,3
íµ,U+8DF3,36339,7
ëH,U+8DF5,36341,7
óx,U+8E0A,36362,7
ì•,U+8E0F,36367,7
ñÙ,U+8E8D,36493,7
êg,U+8EAB,36523,3
é‘,U+8ECA,36554,1
ãO,U+8ECC,36556,7
åR,U+8ECD,36557,4
å¨,U+8ED2,36562,7
ìÓ,U+8EDF,36575,7
ì],U+8EE2,36578,3
é≤,U+8EF8,36600,7
åy,U+8EFD,36605,3
är,U+8F03,36611,7
ç⁄,U+8F09,36617,7
ãP,U+8F1D,36637,7
îy,U+8F29,36649,7
ó÷,U+8F2A,36650,4
óA,U+8F38,36664,5
äç,U+8F44,36676,7
êh,U+8F9B,36763,7
é´,U+8F9E,36766,4
êJ,U+8FB1,36785,7
î_,U+8FB2,36786,3
ï”,U+8FBA,36794,4
çû,U+8FBC,36796,7
êv,U+8FC5,36805,7
å},U+8FCE,36814,7
ãﬂ,U+8FD1,36817,2
ï‘,U+8FD4,36820,3
îó,U+8FEB,36843,7
ìR,U+8FED,36845,7
èq,U+8FF0,36848,5
ñ¿,U+8FF7,36855,5
í«,U+8FFD,36861,3
ëﬁ,U+9000,36864,5
ëó,U+9001,36865,3
ì¶,U+9003,36867,7
ãt,U+9006,36870,5
ìß,U+900F,36879,7
íÄ,U+9010,36880,7
í¸,U+9013,36883,7
ìr,U+9014,36884,7
í ,U+901A,36890,2
ê¿,U+901D,36893,7
ë¨,U+901F,36895,3
ë¢,U+9020,36896,5
òA,U+9023,36899,4
ëﬂ,U+902E,36910,7
èT,U+9031,36913,2
êi,U+9032,36914,3
àÌ,U+9038,36920,7
êã,U+9042,36930,7
íx,U+9045,36933,7
ãˆ,U+9047,36935,7
óV,U+904A,36938,3
â^,U+904B,36939,3
ï’,U+904D,36941,7
âﬂ,U+904E,36942,5
ìπ,U+9053,36947,2
íB,U+9054,36948,4
à·,U+9055,36949,7
âì,U+9060,36960,2
å≠,U+9063,36963,7
ìK,U+9069,36969,5
ëò,U+906D,36973,7
é’,U+906E,36974,7
èÖ,U+9075,36981,7
ëJ,U+9077,36983,7
ëI,U+9078,36984,4
à‚,U+907A,36986,6
î,U+907F,36991,7
ä“,U+9084,36996,7
ñM,U+90A6,37030,7
é◊,U+90AA,37034,7
ì@,U+90B8,37048,7
çx,U+90CA,37066,7
òY,U+90CE,37070,7
åS,U+90E1,37089,4
ïî,U+90E8,37096,3
äs,U+90ED,37101,7
óX,U+90F5,37109,6
ãΩ,U+90F7,37111,6
ìs,U+90FD,37117,3
éﬁ,U+914C,37196,7
îz,U+914D,37197,3
é,U+9152,37202,3
êå,U+9154,37204,7
ê|,U+9162,37218,7
óè,U+916A,37226,7
èV,U+916C,37228,7
çy,U+9175,37237,7
çì,U+9177,37239,7
é_,U+9178,37240,5
èX,U+919C,37276,7
è¯,U+91B8,37304,7
éﬂ,U+91C8,37320,7
ó¢,U+91CC,37324,2
èd,U+91CD,37325,3
ñÏ,U+91CE,37326,2
ó ,U+91CF,37327,4
ã‡,U+91D1,37329,1
êj,U+91DD,37341,6
íﬁ,U+91E3,37347,7
ì›,U+920D,37389,7
óÈ,U+9234,37428,7
ìS,U+9244,37444,3
âî,U+925B,37467,7
î´,U+9262,37474,7
çz,U+9271,37489,5
ã‚,U+9280,37504,3
èe,U+9283,37507,7
ì∫,U+9285,37509,5
ëL,U+9291,37521,7
ñ¡,U+9298,37528,7
ëK,U+92AD,37549,5
âs,U+92ED,37613,7
íí,U+92F3,37619,7
ç|,U+92FC,37628,6
êé,U+9318,37656,7
è˘,U+9320,37664,7
òB,U+932C,37676,7
çˆ,U+932F,37679,7
ò^,U+9332,37682,4
íb,U+935B,37723,7
çΩ,U+9396,37782,7
í¡,U+93AE,37806,7
ãæ,U+93E1,37857,4
è‡,U+9418,37912,7
ä”,U+9451,37969,7
í∑,U+9577,38263,2
ñÂ,U+9580,38272,2
ï¬,U+9589,38281,6
äJ,U+958B,38283,3
ä’,U+9591,38289,7
ä‘,U+9593,38291,2
ä÷,U+95A2,38306,4
ät,U+95A3,38307,6
î¥,U+95A5,38309,7
â{,U+95B2,38322,7
ì¨,U+95D8,38360,7
ñh,U+9632,38450,5
ëj,U+963B,38459,7
ïç,U+9644,38468,7
ç~,U+964D,38477,6
å¿,U+9650,38480,5
ï√,U+965B,38491,6
â@,U+9662,38498,3
êw,U+9663,38499,7
èú,U+9664,38500,6
ä◊,U+9665,38501,7
îÜ,U+966A,38506,7
âA,U+9670,38512,7
í¬,U+9673,38515,7
óÀ,U+9675,38517,7
ì©,U+9676,38518,7
ó§,U+9678,38520,4
åØ,U+967A,38522,5
óz,U+967D,38525,3
ã˜,U+9685,38533,7
ó≤,U+9686,38534,7
ë‡,U+968A,38538,4
äK,U+968E,38542,3
êè,U+968F,38543,7
äu,U+9694,38548,7
ç€,U+969B,38555,5
è·,U+969C,38556,6
âB,U+96A0,38560,7
ó◊,U+96A3,38563,7
óÍ,U+96B7,38583,7
ê«,U+96BB,38587,7
óY,U+96C4,38596,7
âÎ,U+96C5,38597,7
èW,U+96C6,38598,3
åŸ,U+96C7,38599,7
éì,U+96CC,38604,7
éG,U+96D1,38609,5
ó£,U+96E2,38626,7
ìÔ,U+96E3,38627,6
âJ,U+96E8,38632,1
ê·,U+96EA,38634,2
ïµ,U+96F0,38640,7
â_,U+96F2,38642,2
óÎ,U+96F6,38646,7
óã,U+96F7,38647,7
ìd,U+96FB,38651,2
é˘,U+9700,38656,7
êk,U+9707,38663,7
óÏ,U+970A,38666,7
ëö,U+971C,38684,7
ñ∂,U+9727,38695,7
òI,U+9732,38706,7
ê¬,U+9752,38738,1
ê√,U+9759,38745,4
îÒ,U+975E,38750,5
ñ ,U+9762,38754,3
äv,U+9769,38761,6
åC,U+9774,38772,7
